encoding,dataset,filename,Lmax,status,time_s
seqcounter,30-S,30_05_005_100_25_1.GSP,89,FINISHED,5.79
seqcounter,30-S,30_05_005_100_50_1.GSP,89,FINISHED,0.77
seqcounter,30-S,30_05_005_100_75_1.GSP,94,FINISHED,0.43
seqcounter,30-S,30_05_005_125_25_1.GSP,88,FINISHED,19.14
seqcounter,30-S,30_05_005_125_50_1.GSP,88,FINISHED,1.44
seqcounter,30-S,30_05_005_125_75_1.GSP,92,FINISHED,0.46
seqcounter,30-S,30_05_025_100_25_1.GSP,52,FINISHED,1.74
seqcounter,30-S,30_05_025_100_50_1.GSP,64,FINISHED,0.47
seqcounter,30-S,30_05_025_100_75_1.GSP,77,FINISHED,0.45
seqcounter,30-S,30_05_025_125_25_1.GSP,92,FINISHED,225.61
seqcounter,30-S,30_05_025_125_50_1.GSP,94,FINISHED,3.76
seqcounter,30-S,30_05_025_125_75_1.GSP,112,FINISHED,0.57
seqcounter,30-S,30_05_050_100_25_1.GSP,36,FINISHED,0.9
seqcounter,30-S,30_05_050_100_50_1.GSP,56,FINISHED,0.55
seqcounter,30-S,30_05_050_100_75_1.GSP,63,FINISHED,0.43
seqcounter,30-S,30_05_050_125_25_1.GSP,49,FINISHED,0.87
seqcounter,30-S,30_05_050_125_50_1.GSP,81,FINISHED,0.9
seqcounter,30-S,30_05_050_125_75_1.GSP,86,FINISHED,0.48
seqcounter,30-S,30_10_005_100_25_1.GSP,94,FINISHED,0.34
seqcounter,30-S,30_10_005_100_50_1.GSP,74,FINISHED,0.35
seqcounter,30-S,30_10_005_100_75_1.GSP,112,FINISHED,0.41
seqcounter,30-S,30_10_005_125_25_1.GSP,42,FINISHED,0.51
seqcounter,30-S,30_10_005_125_50_1.GSP,64,FINISHED,0.4
seqcounter,30-S,30_10_005_125_75_1.GSP,75,FINISHED,0.42
seqcounter,30-S,30_10_025_100_25_1.GSP,2,FINISHED,0.43
seqcounter,30-S,30_10_025_100_50_1.GSP,17,FINISHED,0.51
seqcounter,30-S,30_10_025_100_75_1.GSP,32,FINISHED,0.38
seqcounter,30-S,30_10_025_125_25_1.GSP,102,FINISHED,0.41
seqcounter,30-S,30_10_025_125_50_1.GSP,107,FINISHED,0.43
seqcounter,30-S,30_10_025_125_75_1.GSP,109,FINISHED,0.38
seqcounter,30-S,30_10_050_100_25_1.GSP,3,FINISHED,0.4
seqcounter,30-S,30_10_050_100_50_1.GSP,0,FINISHED,0.39
seqcounter,30-S,30_10_050_100_75_1.GSP,1,FINISHED,0.38
seqcounter,30-S,30_10_050_125_25_1.GSP,0,FINISHED,0.46
seqcounter,30-S,30_10_050_125_50_1.GSP,0,FINISHED,0.44
seqcounter,30-S,30_10_050_125_75_1.GSP,9,FINISHED,0.43
