Lmax = 15 (Jobs 27, 43, 50)
Solve Time = 3.09s
Schedule:
  Job 1: start = 6, end = 15, due_date = 25, lateness = -10
  Job 2: start = 25, end = 33, due_date = 39, lateness = -6
  Job 3: start = 33, end = 34, due_date = 44, lateness = -10
  Job 4: start = 38, end = 47, due_date = 46, lateness = 1
  Job 5: start = 47, end = 54, due_date = 65, lateness = -11
  Job 8: start = 54, end = 59, due_date = 59, lateness = 0
  Job 12: start = 59, end = 66, due_date = 72, lateness = -6
  Job 11: start = 66, end = 70, due_date = 72, lateness = -2
  Job 7: start = 70, end = 78, due_date = 66, lateness = 12
  Job 9: start = 78, end = 79, due_date = 68, lateness = 11
  Job 6: start = 79, end = 88, due_date = 75, lateness = 13
  Job 10: start = 88, end = 92, due_date = 86, lateness = 6
  Job 14: start = 92, end = 98, due_date = 104, lateness = -6
  Job 15: start = 98, end = 106, due_date = 95, lateness = 11
  Job 13: start = 106, end = 113, due_date = 101, lateness = 12
  Job 23: start = 113, end = 116, due_date = 121, lateness = -5
  Job 16: start = 116, end = 123, due_date = 120, lateness = 3
  Job 22: start = 123, end = 124, due_date = 123, lateness = 1
  Job 21: start = 124, end = 127, due_date = 125, lateness = 2
  Job 34: start = 127, end = 129, due_date = 123, lateness = 6
  Job 19: start = 129, end = 135, due_date = 131, lateness = 4
  Job 17: start = 135, end = 143, due_date = 130, lateness = 13
  Job 18: start = 143, end = 151, due_date = 137, lateness = 14
  Job 35: start = 151, end = 157, due_date = 143, lateness = 14
  Job 20: start = 157, end = 158, due_date = 150, lateness = 8
  Job 26: start = 158, end = 165, due_date = 167, lateness = -2
  Job 25: start = 165, end = 169, due_date = 168, lateness = 1
  Job 24: start = 169, end = 175, due_date = 167, lateness = 8
  Job 29: start = 175, end = 178, due_date = 180, lateness = -2
  Job 28: start = 178, end = 185, due_date = 179, lateness = 6
  Job 27: start = 185, end = 194, due_date = 179, lateness = 15
  Job 30: start = 194, end = 195, due_date = 187, lateness = 8
  Job 31: start = 195, end = 198, due_date = 192, lateness = 6
  Job 33: start = 198, end = 203, due_date = 193, lateness = 10
  Job 32: start = 203, end = 212, due_date = 207, lateness = 5
  Job 45: start = 212, end = 214, due_date = 213, lateness = 1
  Job 37: start = 214, end = 219, due_date = 219, lateness = 0
  Job 38: start = 219, end = 224, due_date = 232, lateness = -8
  Job 40: start = 224, end = 227, due_date = 237, lateness = -10
  Job 41: start = 227, end = 233, due_date = 234, lateness = -1
  Job 36: start = 233, end = 234, due_date = 222, lateness = 12
  Job 44: start = 234, end = 241, due_date = 247, lateness = -6
  Job 39: start = 241, end = 242, due_date = 228, lateness = 14
  Job 48: start = 242, end = 246, due_date = 242, lateness = 4
  Job 42: start = 246, end = 255, due_date = 241, lateness = 14
  Job 46: start = 255, end = 261, due_date = 266, lateness = -5
  Job 47: start = 261, end = 264, due_date = 251, lateness = 13
  Job 43: start = 264, end = 273, due_date = 258, lateness = 15
  Job 50: start = 276, end = 281, due_date = 266, lateness = 15
  Job 49: start = 283, end = 288, due_date = 277, lateness = 11
