Lmax = 12 (Jobs 4, 9, 19)
Schedule:
  Job 10: start = 0, end = 4, due_date = 5, lateness = -1
  Job 2: start = 4, end = 9, due_date = 9, lateness = 0
  Job 1: start = 9, end = 12, due_date = 4, lateness = 8
  Job 5: start = 12, end = 19, due_date = 8, lateness = 11
  Job 3: start = 19, end = 28, due_date = 17, lateness = 11
  Job 4: start = 28, end = 30, due_date = 18, lateness = 12
  Job 6: start = 33, end = 42, due_date = 34, lateness = 8
  Job 7: start = 43, end = 48, due_date = 38, lateness = 10
  Job 8: start = 48, end = 55, due_date = 44, lateness = 11
  Job 9: start = 57, end = 58, due_date = 46, lateness = 12
  Job 11: start = 60, end = 61, due_date = 60, lateness = 1
  Job 12: start = 62, end = 67, due_date = 67, lateness = 0
  Job 13: start = 68, end = 70, due_date = 72, lateness = -2
  Job 14: start = 70, end = 75, due_date = 74, lateness = 1
  Job 15: start = 79, end = 84, due_date = 76, lateness = 8
  Job 16: start = 86, end = 93, due_date = 92, lateness = 1
  Job 17: start = 93, end = 98, due_date = 98, lateness = 0
  Job 18: start = 99, end = 105, due_date = 102, lateness = 3
  Job 20: start = 106, end = 108, due_date = 102, lateness = 6
  Job 19: start = 108, end = 117, due_date = 105, lateness = 12
