Lmax = 15 (Jobs 18, 28, 35, 43, 45, 50)
Schedule:
  Job 1: start = 6, end = 15, due_date = 25, lateness = -10
  Job 2: start = 21, end = 29, due_date = 39, lateness = -10
  Job 3: start = 33, end = 34, due_date = 44, lateness = -10
  Job 4: start = 37, end = 46, due_date = 46, lateness = 0
  Job 5: start = 47, end = 54, due_date = 65, lateness = -11
  Job 8: start = 54, end = 59, due_date = 59, lateness = 0
  Job 7: start = 59, end = 67, due_date = 66, lateness = 1
  Job 11: start = 67, end = 71, due_date = 72, lateness = -1
  Job 12: start = 71, end = 78, due_date = 72, lateness = 6
  Job 9: start = 78, end = 79, due_date = 68, lateness = 11
  Job 6: start = 79, end = 88, due_date = 75, lateness = 13
  Job 10: start = 88, end = 92, due_date = 86, lateness = 6
  Job 14: start = 92, end = 98, due_date = 104, lateness = -6
  Job 15: start = 98, end = 106, due_date = 95, lateness = 11
  Job 13: start = 106, end = 113, due_date = 101, lateness = 12
  Job 16: start = 113, end = 120, due_date = 120, lateness = 0
  Job 22: start = 120, end = 121, due_date = 123, lateness = -2
  Job 34: start = 121, end = 123, due_date = 123, lateness = 0
  Job 19: start = 123, end = 129, due_date = 131, lateness = -2
  Job 21: start = 129, end = 132, due_date = 125, lateness = 7
  Job 23: start = 132, end = 135, due_date = 121, lateness = 14
  Job 17: start = 135, end = 143, due_date = 130, lateness = 13
  Job 20: start = 143, end = 144, due_date = 150, lateness = -6
  Job 18: start = 144, end = 152, due_date = 137, lateness = 15
  Job 35: start = 152, end = 158, due_date = 143, lateness = 15
  Job 26: start = 158, end = 165, due_date = 167, lateness = -2
  Job 24: start = 165, end = 171, due_date = 167, lateness = 4
  Job 29: start = 171, end = 174, due_date = 180, lateness = -6
  Job 25: start = 174, end = 178, due_date = 168, lateness = 10
  Job 27: start = 178, end = 187, due_date = 179, lateness = 8
  Job 28: start = 187, end = 194, due_date = 179, lateness = 15
  Job 31: start = 194, end = 197, due_date = 192, lateness = 5
  Job 30: start = 197, end = 198, due_date = 187, lateness = 11
  Job 33: start = 198, end = 203, due_date = 193, lateness = 10
  Job 32: start = 203, end = 212, due_date = 207, lateness = 5
  Job 36: start = 212, end = 213, due_date = 222, lateness = -9
  Job 37: start = 213, end = 218, due_date = 219, lateness = -1
  Job 38: start = 218, end = 223, due_date = 232, lateness = -9
  Job 40: start = 223, end = 226, due_date = 237, lateness = -11
  Job 45: start = 226, end = 228, due_date = 213, lateness = 15
  Job 39: start = 228, end = 229, due_date = 228, lateness = 1
  Job 41: start = 229, end = 235, due_date = 234, lateness = 1
  Job 42: start = 235, end = 244, due_date = 241, lateness = 3
  Job 48: start = 244, end = 248, due_date = 242, lateness = 6
  Job 44: start = 248, end = 255, due_date = 247, lateness = 8
  Job 47: start = 255, end = 258, due_date = 251, lateness = 7
  Job 46: start = 258, end = 264, due_date = 266, lateness = -2
  Job 43: start = 264, end = 273, due_date = 258, lateness = 15
  Job 50: start = 276, end = 281, due_date = 266, lateness = 15
  Job 49: start = 286, end = 291, due_date = 277, lateness = 14
