Lmax = 1 (Jobs 3, 7, 12, 13, 16, 18, 19)
Schedule:
  Job 2: start = 2, end = 5, due_date = 5, lateness = 0
  Job 1: start = 6, end = 13, due_date = 24, lateness = -11
  Job 4: start = 13, end = 15, due_date = 32, lateness = -17
  Job 3: start = 15, end = 16, due_date = 15, lateness = 1
  Job 5: start = 16, end = 18, due_date = 35, lateness = -17
  Job 7: start = 20, end = 25, due_date = 24, lateness = 1
  Job 8: start = 25, end = 26, due_date = 36, lateness = -10
  Job 6: start = 26, end = 31, due_date = 38, lateness = -7
  Job 9: start = 31, end = 35, due_date = 52, lateness = -17
  Job 17: start = 41, end = 42, due_date = 46, lateness = -4
  Job 10: start = 42, end = 51, due_date = 59, lateness = -8
  Job 12: start = 51, end = 58, due_date = 57, lateness = 1
  Job 11: start = 58, end = 61, due_date = 61, lateness = 0
  Job 20: start = 61, end = 64, due_date = 64, lateness = 0
  Job 13: start = 64, end = 72, due_date = 71, lateness = 1
  Job 15: start = 72, end = 73, due_date = 73, lateness = 0
  Job 14: start = 78, end = 81, due_date = 81, lateness = 0
  Job 16: start = 82, end = 87, due_date = 86, lateness = 1
  Job 18: start = 88, end = 93, due_date = 92, lateness = 1
  Job 19: start = 94, end = 97, due_date = 96, lateness = 1
