Lmax = 15 (Jobs 27, 43, 50)
Schedule:
  Job 1: start = 6, end = 15, due_date = 25, lateness = -10
  Job 2: start = 21, end = 29, due_date = 39, lateness = -10
  Job 3: start = 33, end = 34, due_date = 44, lateness = -10
  Job 4: start = 37, end = 46, due_date = 46, lateness = 0
  Job 5: start = 47, end = 54, due_date = 65, lateness = -11
  Job 8: start = 54, end = 59, due_date = 59, lateness = 0
  Job 12: start = 59, end = 66, due_date = 72, lateness = -6
  Job 7: start = 66, end = 74, due_date = 66, lateness = 8
  Job 11: start = 74, end = 78, due_date = 72, lateness = 6
  Job 9: start = 78, end = 79, due_date = 68, lateness = 11
  Job 6: start = 79, end = 88, due_date = 75, lateness = 13
  Job 10: start = 88, end = 92, due_date = 86, lateness = 6
  Job 13: start = 92, end = 99, due_date = 101, lateness = -2
  Job 15: start = 99, end = 107, due_date = 95, lateness = 12
  Job 14: start = 107, end = 113, due_date = 104, lateness = 9
  Job 16: start = 113, end = 120, due_date = 120, lateness = 0
  Job 17: start = 120, end = 128, due_date = 130, lateness = -2
  Job 23: start = 128, end = 131, due_date = 121, lateness = 10
  Job 22: start = 131, end = 132, due_date = 123, lateness = 9
  Job 21: start = 132, end = 135, due_date = 125, lateness = 10
  Job 34: start = 135, end = 137, due_date = 123, lateness = 14
  Job 19: start = 137, end = 143, due_date = 131, lateness = 12
  Job 18: start = 143, end = 151, due_date = 137, lateness = 14
  Job 35: start = 151, end = 157, due_date = 143, lateness = 14
  Job 20: start = 157, end = 158, due_date = 150, lateness = 8
  Job 25: start = 158, end = 162, due_date = 168, lateness = -6
  Job 24: start = 162, end = 168, due_date = 167, lateness = 1
  Job 29: start = 168, end = 171, due_date = 180, lateness = -9
  Job 26: start = 171, end = 178, due_date = 167, lateness = 11
  Job 28: start = 178, end = 185, due_date = 179, lateness = 6
  Job 27: start = 185, end = 194, due_date = 179, lateness = 15
  Job 33: start = 194, end = 199, due_date = 193, lateness = 6
  Job 30: start = 199, end = 200, due_date = 187, lateness = 13
  Job 31: start = 200, end = 203, due_date = 192, lateness = 11
  Job 32: start = 203, end = 212, due_date = 207, lateness = 5
  Job 37: start = 212, end = 217, due_date = 219, lateness = -2
  Job 38: start = 217, end = 222, due_date = 232, lateness = -10
  Job 36: start = 222, end = 223, due_date = 222, lateness = 1
  Job 39: start = 223, end = 224, due_date = 228, lateness = -4
  Job 45: start = 224, end = 226, due_date = 213, lateness = 13
  Job 40: start = 226, end = 229, due_date = 237, lateness = -8
  Job 41: start = 229, end = 235, due_date = 234, lateness = 1
  Job 44: start = 235, end = 242, due_date = 247, lateness = -5
  Job 48: start = 242, end = 246, due_date = 242, lateness = 4
  Job 42: start = 246, end = 255, due_date = 241, lateness = 14
  Job 46: start = 255, end = 261, due_date = 266, lateness = -5
  Job 47: start = 261, end = 264, due_date = 251, lateness = 13
  Job 43: start = 264, end = 273, due_date = 258, lateness = 15
  Job 50: start = 276, end = 281, due_date = 266, lateness = 15
  Job 49: start = 286, end = 291, due_date = 277, lateness = 14
