Lmax = 12 (Jobs 4, 8, 19)
Schedule:
  Job 10: start = 0, end = 4, due_date = 5, lateness = -1
  Job 1: start = 4, end = 7, due_date = 4, lateness = 3
  Job 2: start = 7, end = 12, due_date = 9, lateness = 3
  Job 5: start = 12, end = 19, due_date = 8, lateness = 11
  Job 3: start = 19, end = 28, due_date = 17, lateness = 11
  Job 4: start = 28, end = 30, due_date = 18, lateness = 12
  Job 6: start = 34, end = 43, due_date = 34, lateness = 9
  Job 7: start = 44, end = 49, due_date = 38, lateness = 11
  Job 8: start = 49, end = 56, due_date = 44, lateness = 12
  Job 9: start = 56, end = 57, due_date = 46, lateness = 11
  Job 12: start = 61, end = 66, due_date = 67, lateness = -1
  Job 11: start = 67, end = 68, due_date = 60, lateness = 8
  Job 13: start = 70, end = 72, due_date = 72, lateness = 0
  Job 14: start = 72, end = 77, due_date = 74, lateness = 3
  Job 15: start = 79, end = 84, due_date = 76, lateness = 8
  Job 16: start = 85, end = 92, due_date = 92, lateness = 0
  Job 18: start = 94, end = 100, due_date = 102, lateness = -2
  Job 20: start = 100, end = 102, due_date = 102, lateness = 0
  Job 17: start = 103, end = 108, due_date = 98, lateness = 10
  Job 19: start = 108, end = 117, due_date = 105, lateness = 12
