Lmax = 15 (Jobs 18, 28, 35, 43, 50)
Schedule:
  Job 1: start = 7, end = 16, due_date = 25, lateness = -9
  Job 2: start = 21, end = 29, due_date = 39, lateness = -10
  Job 3: start = 33, end = 34, due_date = 44, lateness = -10
  Job 4: start = 37, end = 46, due_date = 46, lateness = 0
  Job 5: start = 47, end = 54, due_date = 65, lateness = -11
  Job 8: start = 54, end = 59, due_date = 59, lateness = 0
  Job 7: start = 59, end = 67, due_date = 66, lateness = 1
  Job 11: start = 67, end = 71, due_date = 72, lateness = -1
  Job 9: start = 71, end = 72, due_date = 68, lateness = 4
  Job 12: start = 72, end = 79, due_date = 72, lateness = 7
  Job 6: start = 79, end = 88, due_date = 75, lateness = 13
  Job 10: start = 88, end = 92, due_date = 86, lateness = 6
  Job 15: start = 92, end = 100, due_date = 95, lateness = 5
  Job 14: start = 100, end = 106, due_date = 104, lateness = 2
  Job 13: start = 106, end = 113, due_date = 101, lateness = 12
  Job 16: start = 113, end = 120, due_date = 120, lateness = 0
  Job 34: start = 120, end = 122, due_date = 123, lateness = -1
  Job 22: start = 122, end = 123, due_date = 123, lateness = 0
  Job 19: start = 123, end = 129, due_date = 131, lateness = -2
  Job 21: start = 129, end = 132, due_date = 125, lateness = 7
  Job 23: start = 132, end = 135, due_date = 121, lateness = 14
  Job 17: start = 135, end = 143, due_date = 130, lateness = 13
  Job 20: start = 143, end = 144, due_date = 150, lateness = -6
  Job 18: start = 144, end = 152, due_date = 137, lateness = 15
  Job 35: start = 152, end = 158, due_date = 143, lateness = 15
  Job 24: start = 158, end = 164, due_date = 167, lateness = -3
  Job 26: start = 164, end = 171, due_date = 167, lateness = 4
  Job 25: start = 171, end = 175, due_date = 168, lateness = 7
  Job 27: start = 175, end = 184, due_date = 179, lateness = 5
  Job 29: start = 184, end = 187, due_date = 180, lateness = 7
  Job 28: start = 187, end = 194, due_date = 179, lateness = 15
  Job 33: start = 194, end = 199, due_date = 193, lateness = 6
  Job 30: start = 199, end = 200, due_date = 187, lateness = 13
  Job 31: start = 200, end = 203, due_date = 192, lateness = 11
  Job 32: start = 203, end = 212, due_date = 207, lateness = 5
  Job 45: start = 212, end = 214, due_date = 213, lateness = 1
  Job 36: start = 214, end = 215, due_date = 222, lateness = -7
  Job 37: start = 215, end = 220, due_date = 219, lateness = 1
  Job 38: start = 220, end = 225, due_date = 232, lateness = -7
  Job 39: start = 225, end = 226, due_date = 228, lateness = -2
  Job 40: start = 226, end = 229, due_date = 237, lateness = -8
  Job 41: start = 229, end = 235, due_date = 234, lateness = 1
  Job 42: start = 235, end = 244, due_date = 241, lateness = 3
  Job 47: start = 244, end = 247, due_date = 251, lateness = -4
  Job 48: start = 247, end = 251, due_date = 242, lateness = 9
  Job 44: start = 251, end = 258, due_date = 247, lateness = 11
  Job 46: start = 258, end = 264, due_date = 266, lateness = -2
  Job 43: start = 264, end = 273, due_date = 258, lateness = 15
  Job 50: start = 276, end = 281, due_date = 266, lateness = 15
  Job 49: start = 282, end = 287, due_date = 277, lateness = 10
